,fo_r,fm_r,alpha1,tau1,alpha2,tau2,alpha3,tau3,rsq,bias,chi,for_err,fmr_err,alpha1_err,tau1_err,alpha2_err,tau2_err,alpha3_err,tau3_err,nfl,datetime
0,221.13761835076622,283.04116430970936,0.9999999999999999,100.00000000000001,0.10000000000000002,800.0000000000001,0.13720176176155602,19413.263387232924,0.2707990144865742,6.271365370645203e-05,227.85454167720218,33.26186692227931,3783104755.6686935,61112895.74406079,105895.33721060964,6111288.351493541,3164960.4058534363,8384796.811416931,3120973.6582251503,61.0,2017-01-13 22:26:21
1,192.2797211643832,249.60972098433314,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999999138,0.21367188352737868,49999.99999013281,0.24447782346394054,0.00034556047890462973,246.50935130397636,56.673911797292966,1180180478.9493108,20585744.072626226,61816.592485114044,2058573.308477953,2265846.7409270746,4398593.907302238,3830754.128629038,61.0,2017-01-13 22:28:15
2,204.19666666666663,263.01000000000005,0.5233037826402622,100.0000000000002,0.10000000000000002,800.0000000310687,0.4058876428404637,49999.999999443084,0.01580220590942516,-0.00032366107379572847,292.1745352353115,3488.521919430945,6883235887.14806,61245019.90281749,458347.69445243233,11703526.205280747,13903606.932785813,47503180.155261666,15341010.246384885,61.0,2017-01-13 22:30:09
3,258.0338843806824,308.4000000000001,0.10000000000000002,100.00000000000001,0.10000000000000002,1999.999810897378,0.29328164414404484,12597.7982222432,0.1365247091872046,3.85128588232674e-05,232.99076297737065,38.52428470984414,,,513559.8775782877,,8316340.962263445,,13221088.41743927,61.0,2017-01-13 22:32:02
4,274.40947187031105,349.5865707524893,0.9999999999999999,100.00000000000001,0.10000000000000002,1374.6183118707843,0.10000000000000002,2000.0193615342212,0.4318021352522039,0.00016281720733262117,218.41099719311364,34.92022117388782,8295754981.569976,110349498.16066103,216488.9699800596,11035460.431848427,145131594.83614245,11034621.761170845,145046356.64753106,61.0,2017-01-13 22:33:56
5,266.47445241890773,349.37910652744733,0.9999999999999999,100.00000000000001,0.10000000000000002,800.0003802747447,0.4143592584604986,23201.289016515606,0.4045004677473749,0.00044153556284703065,309.5944460629724,38.18616858290719,3737875225.044503,45086430.44657262,291570.3960929576,4508647.620102859,18542025.581026975,18681981.327205043,37193218.44150618,61.0,2017-01-13 22:35:50
6,242.14666666666662,325.32248537986834,0.9999999999999999,100.00000000000001,0.10000000000000002,1766.7672535468248,0.2811464663077604,49999.998718097595,0.40243673771488975,0.00026923870699078155,191.9023709694558,872.8614132529743,3749592753.9822626,45080321.61651292,165854.45606107294,4508030.631281542,12107537.105644861,12674173.633114036,13039244.604231475,61.0,2017-01-13 22:37:43
7,231.2926581905047,308.76490769127594,0.9866347549216172,100.00000000000001,0.2154209495529129,1999.9999999649099,0.41773666162948336,10505.220307917827,0.4051531637060455,0.00017920464064993629,238.12934152924703,30.47551118055617,,,19168.138692787812,,707372.1507826818,,971122.9428431046,61.0,2017-01-13 22:39:37
8,219.52433393182045,316.01763176293906,0.8366167407462062,100.00000000000001,0.19365070834499296,800.0000086539808,0.1472651873971842,19699.357913608936,0.4620197262539891,0.0002483929641795204,205.29920486509297,33.41992807193591,764292657.2442386,6626572.45114233,37904.776641125725,1533847.0376249563,942703.5758196802,1166440.6534098003,2085152.6627775896,61.0,2017-01-13 22:41:30
9,222.1322499923693,281.19000000000005,0.3508170650207627,100.00000000000001,0.10000000000000002,1999.9997599764095,0.6040000606589282,24287.138704682195,0.3464757709244676,0.0001261267608892975,259.67421572537773,241.16507146387434,,,222885.57252857363,,16303726.756700175,,18976170.619943187,61.0,2017-01-13 22:43:24
