,fo,fm,sigma,fvfm,rsq,bias,chi,fo_err,fm_err,sigma_err,nfl,datetime
0,363.04898998319,387.4781462751559,945.0469323537313,0.0630465395966313,0.03494672670664134,9.080049885652096e-05,88.40073246256726,182.8815720432606,12.204876725963102,5665.510281508071,99.0,2017-01-13 22:26:21
1,291.70738235588306,331.05598726022555,1105.7370157977819,0.11885785612876605,0.018744933288416643,8.016423181176511e-05,78.14368317881689,41.81171954699216,41.93410223120559,2253.7094969976515,99.0,2017-01-13 22:28:15
2,349.484537649071,388.46030503468927,1605.1200713858627,0.10033397719269606,0.02381609911075666,4.424431054702141e-06,69.0529310757909,58.32344210809014,20.556805841838987,2786.770973059812,99.0,2017-01-13 22:30:09
3,436.9711222253475,457.5782897553416,100.00000000000001,0.04503528246720878,0.010328008127336585,-2.9035368917729226e-06,98.13184804573719,49.08917724090392,156.20998274918625,3914.9041911051527,99.0,2017-01-13 22:32:02
4,432.87000000000006,480.5321376515431,2199.9999999999995,0.09918616033565927,0.019590462871828418,2.2121339823464436e-05,84.0094289266521,80123.64409701034,21.709341906155675,1582728.0072838203,99.0,2017-01-13 22:33:56
5,382.8300000000059,481.1788701430577,919.1890083568097,0.20439149814249327,0.21431753377152618,7.309848312123887e-05,91.11633265768732,1941.0627820779894,28.689093654491526,10931.42887961916,99.0,2017-01-13 22:35:50
6,412.6354658758308,451.1334095665633,136.32725664172668,0.0853360510978787,0.17958828940495764,9.450180097815786e-05,94.13373368893525,457.64799052373564,188.22680991002906,2171.692017373414,99.0,2017-01-13 22:37:43
7,345.35077844805244,430.3787342217532,858.7540909086772,0.19756542090179108,0.2445013270010622,5.5036054320326794e-05,89.40545115758289,148.44137491725976,24.124741257393968,1391.8537361043004,99.0,2017-01-13 22:39:37
8,341.5908475937179,401.06728604819557,314.74343955892033,0.14829541207539546,0.27233378816452025,-1.8986158257567415e-05,123.5602381238373,61.13325522392992,16.894389860298404,506.0981012259037,99.0,2017-01-13 22:41:30
9,370.19711958439774,415.06452470721723,270.86699951218566,0.10809742209230855,0.31010484189552157,3.3844352001213e-05,70.78774632245799,20.331752811133924,22.44783191769032,369.2107769394748,99.0,2017-01-13 22:43:24
10,363.0773995977259,424.342556409776,313.62654162990145,0.14437665015358025,0.3341496458522246,4.200583427997713e-05,79.39841821981393,24.21101937403743,25.8350042803783,376.9607682203537,99.0,2017-01-13 22:45:18
11,326.0972110289263,413.66492647308365,564.4137412119765,0.2116875515426498,0.2765292398942678,-4.939807767246075e-05,95.4863996989711,121.57793537590697,21.892755167301413,649.8205559030629,99.0,2017-01-13 22:47:12
12,384.8884697512503,438.1716031219034,100.00000000872532,0.1216033467048508,0.43796897276240354,3.4699039953974585e-05,73.55075263243441,409.23815631586297,440.3644404221233,1984.033099556874,99.0,2017-01-13 22:49:05
13,341.73922622974663,428.555749301894,460.24566760559946,0.2025792985243325,0.501899508128048,4.1058412391455165e-05,65.49128996197668,94.67191312398144,17.0070458417281,486.8093549780383,99.0,2017-01-13 22:50:59
14,381.456253241687,412.62661156970586,100.00000000000001,0.07554131860143772,0.24165361161675436,8.44237675391125e-06,81.80948481474844,21.515225729792036,182.37936426401205,1122.5019776046288,99.0,2017-01-13 22:52:53
15,362.6687580589878,434.6861349104412,263.5744994024573,0.16567672871896683,0.38318017169160656,0.00010190037751099784,90.89005703111896,22.703031372985805,18.112503216502237,233.7073031366582,99.0,2017-01-13 22:54:47
16,309.3000000008522,399.5223732626263,985.1543341859734,0.2258255839966848,0.25141937401823733,5.628114474902223e-05,99.44875715104125,62266.0223103399,37.90950019991369,261526.65039625674,99.0,2017-01-13 22:56:40
17,312.93074865565245,411.4589220700777,457.9278236491032,0.23946053452607935,0.4063810195958234,2.727246456103947e-05,102.4767205112024,35.50748221808166,25.145235807441775,292.59970998161947,99.0,2017-01-13 22:58:34
18,349.5364532208795,406.6449417730278,197.0705073398304,0.1404382120263134,0.2961217259828357,2.4208346966701887e-05,98.00131607122826,24.13553040737939,16.6163024523522,270.70652157931823,99.0,2017-01-13 23:00:27
19,339.21402262730845,409.7460067684585,195.37132170679604,0.1721358670397163,0.36385693437954303,6.825928929440156e-05,94.9919854338823,51.768584867717514,34.304858643777244,624.9006513036411,99.0,2017-01-13 23:02:21
20,339.5301016213729,409.48034195103816,315.9233152842067,0.1708268582476402,0.3900289913100895,1.9247501568814406e-05,91.4803166588851,109.50198578963744,23.994269443300503,532.8625939731699,99.0,2017-01-13 23:04:14
21,323.7326909657941,405.2906483474654,490.74138760189805,0.2012332574516984,0.38175256836738325,6.160315553023618e-05,87.81408400633454,112.13354289113713,22.617265027734717,1164.245519161922,99.0,2017-01-13 23:06:08
22,339.11161111063933,395.61395677278153,321.79112271246623,0.14282192196417878,0.3011669523024233,7.241227196337692e-05,89.70304297301655,23.372785926323377,12.976751947436531,345.97707038926984,99.0,2017-01-13 23:08:01
23,299.52000000124633,392.1159638179751,681.3740391053094,0.23614433576010418,0.24768818449511476,5.024115649497624e-05,115.98093905659567,68.05108880771637,18.942771107009307,737.3913255929087,99.0,2017-01-13 23:09:55
24,377.9097371515165,435.7433245880471,100.00000000037286,0.13272397802354546,0.3897968243554827,4.152855703945069e-05,101.98763558967946,1010.5156230781772,191.17357793264893,1764.5303207144404,99.0,2017-01-13 23:11:48
25,340.2693922537329,409.4752884295525,174.11118164919387,0.16901116656207205,0.33314192163200107,3.7702099595160284e-05,94.22927646425623,92.1581725978866,22.819883009925636,342.4247722661987,99.0,2017-01-13 23:13:42
26,338.8403074140398,396.09894139624765,176.56484284888523,0.14455639235078827,0.39341274479890287,6.423626871828294e-05,102.65995490380253,279.2435656772228,44.45884349131012,1399.2021854858124,99.0,2017-01-13 23:15:36
27,352.02641474983,410.37649772058336,100.0000001462783,0.14218670731597963,0.2755790420966713,9.605573078122995e-06,112.84414857557479,724.0853100262542,1194.9718970704912,4774.6705599439665,99.0,2017-01-13 23:17:30
28,336.744822060851,390.805232029678,204.51258789768556,0.13833082450831063,0.3353059308594415,8.785812012253465e-05,89.82980089494471,123.59038185072114,36.847230912519905,410.2478095169487,99.0,2017-01-13 23:19:23
29,339.33396243173917,396.2530288544223,242.8431323176831,0.14364323368640902,0.30802811633565197,3.438372407621377e-05,99.20897490250918,42.79527744342648,24.627591837511215,363.489135321206,99.0,2017-01-13 23:21:16
30,315.2224839442487,376.0391244243812,366.36241528991627,0.16172955559671368,0.37061523821246867,1.4534899254953437e-05,60.85115783242161,102.86362153096104,32.7395636121491,2232.593352987316,99.0,2017-01-13 23:23:09
31,326.94521554557303,384.6195436917138,255.3149525881806,0.14995163166323333,0.3397596844970616,6.698802574444087e-05,86.52559908872665,37.57836593331759,19.61246466711003,287.90357163841253,99.0,2017-01-13 23:25:03
32,338.94146678722956,391.82204503163973,104.71488576702478,0.13496070196902793,0.36100489178688555,-1.069020512460479e-05,104.666772293943,29.5662626312619,39.44486125704716,226.79883263140775,99.0,2017-01-13 23:26:56
33,330.1696473336958,400.9579256942471,109.39791909012312,0.17654789648560607,0.3492805859075079,0.00010350276935925129,116.37277180396832,92.71042873705969,295.0948835406928,841.039819285579,99.0,2017-01-13 23:28:49
34,341.6529268879035,395.27803735997094,161.83174811650395,0.135664280338531,0.32375639656475597,4.248948386759077e-05,92.34727064054603,33.79563159630012,44.728404221088915,338.06424211811697,99.0,2017-01-13 23:30:43
35,344.18551374246204,386.8786176545117,141.0536502692707,0.11035271003313815,0.3535619419484227,5.189047297789118e-05,98.88502360960561,252.85484212404847,32.71199867989085,1163.5846102661233,99.0,2017-01-13 23:32:36
36,306.280494629901,375.05010256884924,526.0296658828072,0.1833611228684412,0.2657806922659287,6.162650756307634e-05,96.49410511785229,48.244711126954144,21.838415064306886,1044.3986513594562,99.0,2017-01-13 23:34:30
37,312.9318893132718,366.05848761714356,533.0567628642123,0.14513144784512205,0.2797101819029968,5.18510868670803e-05,79.48619921282902,75.6989610550033,16.941248536340243,1082.37202667562,99.0,2017-01-13 23:36:24
38,307.50079048077436,366.2750435233502,296.0789136741829,0.1604648039276772,0.30608983859995165,6.88519345451276e-05,109.62853701808606,156.96064535858287,24.24595986030955,544.4166899113791,99.0,2017-01-13 23:38:17
39,326.59388788960405,387.97719892943604,406.6317999806998,0.15821370742716295,0.30480284940733426,3.765895699062211e-05,84.60941322464043,40.51868385243645,16.381287323728273,479.70536852853087,99.0,2017-01-13 23:40:10
40,314.04325846460756,371.8722661397844,230.34591368435164,0.15550771848481784,0.37979498643613663,2.8728196103100345e-05,105.45637125327858,47.732724508156096,20.46866575154661,327.3678436698123,99.0,2017-01-13 23:42:04
41,275.1600000000001,351.6563381689966,990.8219623577583,0.2175315211643774,0.14315143237556438,7.806704503672277e-05,129.6118064774381,10055.217415085455,25.392723092925845,49570.1766046289,99.0,2017-01-13 23:43:58
42,305.43365161906627,365.11657622120435,234.4736060861208,0.16346265409209862,0.29336437734732523,3.808855287793489e-05,85.890568478863,256.8439301024841,49.90666160109781,981.6831246484176,99.0,2017-01-13 23:45:52
43,310.9189041423704,369.5405202244173,159.42426038739637,0.1586337975777236,0.3147764287221425,5.044297513398836e-05,93.35885713773133,53.05171075122749,27.386983484416163,305.6631180366853,99.0,2017-01-13 23:47:46
44,316.5548907073459,366.24356697576115,325.7384328200875,0.1356711236697401,0.2778220083798132,1.065828155256008e-05,78.38066725030549,109.7821206124535,15.574695866038804,877.3060204528981,99.0,2017-01-13 23:49:40
45,299.46796866651414,369.89659795749895,197.91007362475233,0.19040085710406304,0.4534320347486065,4.88319163996945e-05,84.96006921592394,26.307963482036786,20.339191991549914,243.27765338558038,99.0,2017-01-13 23:51:33
46,294.2720182228464,351.51706799215657,373.07440397229277,0.16285140888404173,0.19683600952633917,5.76290908703459e-06,120.63309291091366,125.18177475834226,20.86481714505265,1758.5642090634944,99.0,2017-01-13 23:53:27
47,303.92739797820025,351.13498611985597,234.57199357639973,0.1344428496382925,0.348761512223666,6.833593307413037e-05,88.67189625919434,54.19720691068338,17.478270742545686,439.2420149350177,99.0,2017-01-13 23:55:21
48,303.1012432409558,355.7991890269236,281.7540305517328,0.14811148369981283,0.1602358528939034,3.538067396785738e-05,135.62833071691642,39.651819853262445,42.30590816249977,696.5676303743996,99.0,2017-01-13 23:57:14
49,315.10672793345276,379.79338504864273,285.4346975107416,0.1703206523907864,0.3462820288339892,8.99149836418755e-05,103.96113181667735,36.17129849770644,16.632952493518136,267.1850766851652,99.0,2017-01-13 23:59:08
50,330.0913294789316,369.9602606842655,100.00000000000057,0.10776544251426828,0.32076681352013403,3.780166367400187e-05,90.84840826651244,92.73670120405325,51.8372049437269,514.2998326252118,99.0,2017-01-14 00:01:02
51,318.0887361311498,379.3872828969372,168.67806537346962,0.1615724868206495,0.40909080886598403,-2.423053344140061e-06,98.43544145115958,95.71736863694632,22.221805548451762,338.393818198471,99.0,2017-01-14 00:02:55
52,331.7348309133032,371.1664166020473,100.00000000008146,0.10623694365921418,0.25684157923789264,1.2041076899432438e-05,102.3176153247809,62.052098840544225,145.18033484338528,632.3647097339854,99.0,2017-01-14 00:04:48
53,296.6047551244492,378.20635915330564,463.75108827028595,0.21575947112983182,0.41262346451656173,6.857749125011972e-05,69.394808506171,71.48406994719416,17.32410873205339,725.9635250607721,99.0,2017-01-14 00:06:42
54,288.8507658317931,359.36682136767524,263.5151914079113,0.19622305494845824,0.26855058723131264,2.5450671027459528e-05,147.72182697936583,52.68280212508094,15.939790841882088,255.20227157011905,99.0,2017-01-14 00:08:34
55,292.28552105597606,350.61802664782374,323.25222817165735,0.16637052620925116,0.3269742088746973,2.027951779354247e-05,88.10822734048433,47.12413875896878,28.885243786166328,406.38601148964955,99.0,2017-01-14 00:10:27
56,303.015765728404,345.8101642198112,187.89249538295596,0.12375112972158135,0.2899478588835842,8.957802307671753e-05,90.89989867720935,36.290430082257245,12.336499887782523,290.14922260644283,99.0,2017-01-14 00:12:21
57,293.50896168642186,348.16923804292514,456.9220735323282,0.1569934112035605,0.23608756126453856,-1.265922250355211e-06,78.42485269627637,33.52006537993236,17.870735948562047,1402.772413138172,99.0,2017-01-14 00:14:15
