wavelength,Ezero,a_W,bb_W,chi,e,fastocean_450,fastocean_530,fastocean_624,fasttracka_ii,fire,phyto_abs,fastact
700,0.384504661,0.624,0.000259473,0.027,3.30E-01,0,0,0,-3.384,0,0.004196916,5.008416683
699,0.404487546,0.612731918,0.000261081,0.03155809,3.35E-01,0,0,0,0.854,0,0.004196916,5.626640532
698,0.422674618,0.599185959,0.0002627,0.03570412,3.41E-01,0,0,0,0.38,0,0.004196916,5.976400203
697,0.438815784,0.584774041,0.000264332,0.039471105,3.49E-01,0,0,0,1.626,0,0.005595888,6.248172919
696,0.452660949,0.570908082,0.000265977,0.04289206,3.57E-01,0,0,0,6.354,0,0.005595888,6.091962688
695,0.463963045,0.559,0.000267634,0.046,3.65E-01,0,0,0,7.294,0,0.005595888,5.944732773
694,0.472886696,0.549881795,0.000269304,0.04882794,3.74E-01,0,0,0,13.326,0,0.005595888,5.996724075
693,0.480421726,0.542065795,0.000270987,0.051408895,3.82E-01,0,0,0,2.906,0,0.00699486,5.610570493
692,0.487523873,0.533566369,0.000272683,0.05377588,3.90E-01,0,0,0,3.792,0,0.008393832,5.121615927
691,0.49425885,0.524282942,0.000274392,0.05596191,3.98E-01,0,0,0,2.826,0,0.009792804,4.372232202
690,0.500326079,0.516,0.000276114,0.058,4.05E-01,0,0,0,0.454,0,0.011191777,3.709815745
689,0.505467762,0.509949214,0.000277849,0.059922149,4.11E-01,0,0,0,-4.732,0,0.012590749,3.210699243
688,0.509824293,0.504823173,0.000279598,0.061756299,4.16E-01,0,0,0,-1.182,0,0.013989721,2.933254748
687,0.513748074,0.498763121,0.00028136,0.063529374,4.22E-01,0,0,0,9.658,0,0.015388693,2.923092811
686,0.517591167,0.491829109,0.000283137,0.065268299,4.27E-01,0,0,0,2.032,0,0.016787665,2.843924237
685,0.521536838,0.486,0.000284926,0.067,4.32E-01,0,0,0,3.874,0,0.018186637,2.413578049
684,0.525487592,0.482583205,0.00028673,0.068731462,4.38E-01,0,0,0,10.896,0,0.019585609,2.146531814
683,0.529319399,0.479866631,0.000288548,0.070389909,4.44E-01,0,0,0,4.62,0,0.020984581,1.96078107
682,0.532905891,0.475493323,0.000290381,0.071882625,4.51E-01,0,0,0,3.836,0,0.023782525,2.076107232
681,0.536074654,0.469636588,0.000292227,0.073116894,4.58E-01,0,0,0,9.486,0,0.025181497,2.300378804
680,0.538611154,0.465,0.000294088,0.074,4.65E-01,0,0,0,5.436,0,0.026580469,2.225700388
679,0.540299339,0.463359651,0.000295964,0.074468002,4.72E-01,0,0,0,1.47,0,0.027979441,2.108956282
678,0.540955813,0.462341663,0.000297854,0.074572064,4.78E-01,0,0,0,0.954,0,0.029378413,2.128334858
677,0.540492199,0.458687398,0.00029976,0.074392125,4.84E-01,0,0,0,2.95,0,0.029378413,2.355914968
676,0.538837309,0.452651122,0.00030168,0.074008124,4.90E-01,0,0,0,7.622,0,0.030777386,2.712528037
675,0.535919953,0.448,0.000303615,0.0735,4.95E-01,0,0,0,0.382,0,0.030777386,2.908440717
674,0.531718445,0.447363911,0.000305566,0.072936529,4.99E-01,0,0,0,-5.07,0,0.030777386,3.459784846
673,0.526792227,0.448212645,0.000307533,0.072341835,5.03E-01,0,0,0,1.308,0,0.030777386,3.601106659
672,0.522078354,0.44686625,0.000309514,0.071728875,5.06E-01,0,0,0,3.732,0,0.030777386,3.633955709
671,0.518524012,0.44287112,0.000311512,0.07111061,5.08E-01,0,0,0,6.114,0,0.030777386,3.908091666
670,0.517094367,0.439,0.000313526,0.0705,5.10E-01,0,0,58.23393939,2.932,0,0.029378413,4.176319522
669,0.518755985,0.437335098,0.000315555,0.06990588,5.11E-01,0,0,45.28363636,9.278,0,0.029378413,4.708285074
668,0.523640668,0.436635374,0.000317601,0.069320598,5.12E-01,0,0,23.35176471,11.14,0,0.027979441,5.179279008
667,0.530030525,0.434904105,0.000319663,0.068732375,5.13E-01,0,0,100.1406061,11.128,0,0.026580469,5.479410617
666,0.536967262,0.43187256,0.000321742,0.068129434,5.13E-01,0,0,87.58151515,8.306,0,0.025181497,5.408040738
665,0.546144458,0.429,0.000323837,0.0675,5.13E-01,0,0,63.72212121,1.852,0,0.023782525,5.418438999
664,0.559323342,0.427271465,0.000325949,0.066835949,5.13E-01,0,0,97.3230303,6.92,0,0.023782525,5.512259667
663,0.574920445,0.425474595,0.000328078,0.066143775,5.12E-01,0,0,88.24411765,8.44,0,0.022383553,5.721642821
662,0.589119813,0.421911225,0.000330225,0.065433627,5.11E-01,0,0,109.9954545,5.08,0,0.020984581,5.894868388
661,0.597835771,0.416344724,0.000332388,0.064715652,5.11E-01,0,0,78.27181818,-0.244,0,0.020984581,6.051078619
660,0.602253342,0.41,0.000334569,0.064,5.10E-01,0,0,69.89272727,5.634,0,0.019585609,6.200671775
659,0.607392585,0.403769412,0.000336768,0.063302324,5.10E-01,0,0,155.9990909,7.69,0,0.018186637,6.318361177
658,0.618036136,0.396960957,0.000338985,0.062660303,5.09E-01,0,0,150.4154545,7.272,0,0.016787665,6.432742043
657,0.632617306,0.388557041,0.000341219,0.062117119,5.09E-01,0,0,191.2427273,3.3,0,0.016787665,6.746107801
656,0.644645765,0.37916158,0.000343472,0.061715957,5.08E-01,0,0,324.1,6.106,0,0.015388693,6.931858545
655,0.653832046,0.371,0.000345743,0.0615,5.08E-01,0,0,595.7381818,1.798,0,0.013989721,7.220646597
654,0.662667554,0.365532306,0.000348033,0.061490754,5.07E-01,0,0,921.32,2.502,0,0.013989721,7.321320664
653,0.672199544,0.360874806,0.000350341,0.061623014,5.07E-01,0,0,1235.257273,3.488,0,0.013989721,7.678170057
652,0.681565652,0.354431349,0.000352668,0.061809896,5.06E-01,0,0,1462.375455,7.39,0,0.013989721,8.062905695
651,0.689839385,0.346445391,0.000355015,0.061964519,5.06E-01,0,0,1871.361176,6.908,0,0.012590749,8.416210226
650,0.696924858,0.34,0.00035738,0.062,5.05E-01,0,0,2521.089412,5.394,0,0.012590749,9.067046802
649,0.703297988,0.337234867,0.000359765,0.06185466,5.05E-01,0,0,3455.413636,13.428,0,0.012590749,9.668255316
648,0.709445981,0.336022329,0.00036217,0.061567643,5.04E-01,0,0,4695.695882,6.514,0,0.012590749,10.13924925
647,0.715744795,0.333289839,0.000364594,0.061203295,5.03E-01,0,0,6023.604706,1.258,0,0.012590749,10.39069809
646,0.721894022,0.328769889,0.000367039,0.060825965,5.02E-01,0,0,7478.826667,5.89,0,0.012590749,10.82766136
645,0.727339216,0.325,0.000369503,0.0605,5.01E-01,0,0,9221.565882,-0.61,0,0.012590749,11.28943865
644,0.73171099,0.323723837,0.000371988,0.060273005,4.99E-01,0,0,11402.65727,5.454,0,0.012590749,11.73656385
643,0.73516902,0.323021795,0.000374494,0.060125615,4.97E-01,0,0,14332.94118,7.272,0,0.012590749,12.18156214
642,0.737966673,0.320176803,0.00037702,0.060021723,4.94E-01,0,0,18137.42118,12.538,0,0.012590749,13.03185625
641,0.7403572,0.315193854,0.000379568,0.05992522,4.92E-01,0,0,22671.51242,12.528,0,0.012590749,14.29760814
640,0.742587144,0.3108,0.000382137,0.0598,0.49,0,0,28283.46559,8.966,0,0.013989721,15.93793373
639,0.744892905,0.308985245,0.000384727,0.05961812,0.488966644,0,0,34155.8,6.382,0,0.012590749,18.34371308
638,0.747510039,0.308317996,0.000387339,0.059384297,0.488496709,0,0,40612.80059,2.586,0,0.013989721,19.88738211
637,0.750674101,0.306598207,0.000389972,0.059111414,0.488343452,0,0,47205.91941,-3.854,0,0.013989721,21.43105114
636,0.754566304,0.303625669,0.000392628,0.058812354,0.48826013,0,0,53308.32647,7.022,0,0.013989721,24.99056476
635,0.758345729,0.3012,0.000395306,0.0585,0.488,0,0,57403.37941,13.552,0,0.013989721,28.50564945
634,0.760320604,0.300541596,0.000398007,0.058185716,0.48737703,0,0,59524.21176,2.726,0,0.013989721,31.53532443
633,0.760203627,0.300206145,0.00040073,0.057874798,0.486448026,0,0,59154.87647,-1.99,0,0.013989721,34.9747854
632,0.759180958,0.2981757,0.000403477,0.057571021,0.485330508,0,0,56446.29324,1.402,0,0.012590749,38.40053958
631,0.758142407,0.294560706,0.000406246,0.057278163,0.484141993,0,0,52442.12176,9.304,0,0.012590749,42.50123538
630,0.75754517,0.2916,0.000409039,0.057,0.483,0,7.091764706,47395.27941,5.694,0,0.012590749,46.20088919
629,0.757821342,0.290859492,0.000411856,0.056740615,0.482005238,0,76.04529412,42194.72059,5.57,0,0.012590749,49.96860434
628,0.759299884,0.290843231,0.000414697,0.056505312,0.481191186,0,78.985,37928.39118,6.812,0,0.012590749,53.25870848
627,0.761915709,0.289376793,0.000417561,0.056299702,0.480574516,0,48.16454545,34278.75455,12.886,0,0.012590749,56.86572325
626,0.76550964,0.286286616,0.000420451,0.056129394,0.480171897,0,65.68117647,31111.25471,11.332,0,0.012590749,60.23570493
625,0.769921634,0.2834,0.000423364,0.056,0.48,0,55.13764706,28123.82853,8.552,0,0.012590749,63.48634295
624,0.774881632,0.282078497,0.000426303,0.055911824,0.480058018,0,84.45272727,25659.36061,5.006,0,0.012590749,66.51483631
623,0.779902926,0.281472691,0.000429267,0.055843954,0.480275228,0,63.81,23309.54176,4.16,0,0.012590749,69.74798634
622,0.784473497,0.280225001,0.000432257,0.055770172,0.480563429,0,114.6244118,20828.32147,9.256,0,0.012590749,73.46371019
621,0.788097797,0.278003117,0.000435272,0.05566426,0.48083442,0,84.17529412,18707.69971,16.806,0,0.012590749,77.38290909
620,0.790397077,0.2755,0.000438313,0.0555,0.481,0,80.60823529,16724.36647,16.896,0,0.012590749,81.47107972
619,0.791095279,0.273315466,0.00044138,0.055258488,0.48101069,0,93.88235294,14990.64882,9.138,0,0.012590749,84.94551666
618,0.790360916,0.271498443,0.000444474,0.054950071,0.4809719,0,93.12352941,13442.62412,10.974,0,0.011191777,88.31478937
617,0.788587095,0.269963622,0.000447594,0.054592411,0.481027767,0,117.8605882,12085.02382,8.2,0,0.011191777,91.57109917
616,0.786168247,0.268705824,0.000450741,0.054203167,0.481322422,0,125.3223529,10771.27,6.424,0,0.011191777,95.56615811
615,0.783474901,0.2678,0.000453916,0.0538,0.482,0,145.6517647,9648.353824,9.288,0,0.011191777,99.23083595
614,0.780841059,0.26725482,0.000457118,0.053401424,0.483147224,0,119.8512121,8565.568182,11.006,0,0.011191777,102.9701922
613,0.778597635,0.266799904,0.000460349,0.05302936,0.48462117,0,156.59,7565.15,7.86,0,0.011191777,106.8116405
612,0.777057864,0.266109705,0.000463607,0.052706585,0.486221504,0,143.2917647,6715.51,8.83,0,0.011191777,110.5892812
611,0.776250541,0.265194423,0.000466894,0.052455873,0.487747893,0,207.4776471,6019.995882,1.576,0,0.011191777,114.392445
610,0.775974879,0.2644,0.000470209,0.0523,0.489,0,184.2458824,5432.278824,8.368,0,0.011191777,117.4932535
609,0.776024521,0.263932819,0.000473554,0.052251817,0.489832415,0,213.4476471,4860.166471,7.77,0,0.011191777,121.2666405
608,0.776549498,0.263382616,0.000476928,0.052284487,0.490319419,0,178.9729412,4339.798235,4.934,0,0.011191777,125.0182856
607,0.778583928,0.262201853,0.000480331,0.052361248,0.490590216,0,215.9435294,3783.239412,6.802,0,0.011191777,128.667366
606,0.783296676,0.260231291,0.000483765,0.052445339,0.490774008,0,221.5829412,3345.228235,9.18,0,0.011191777,132.2481488
605,0.791434345,0.2577,0.000487229,0.0525,0.491,0,244.8952941,2967.312941,12.778,0,0.011191777,135.4805899
604,0.799884705,0.254627841,0.000490723,0.052497707,0.491379115,0,263.8497059,2640.077353,8.016,0,0.011191777,139.9298637
603,0.804877563,0.250130324,0.000494248,0.052447892,0.491949152,0,282.5438235,2364.610294,7.302,0,0.011191777,144.4580698
602,0.807990087,0.24314023,0.000497805,0.052369223,0.492729632,0,314.7576471,2125.048235,7.582,0,0.011191777,149.856185
601,0.810400528,0.233587653,0.000501393,0.052280369,0.493740075,0,326.6868571,1851.270286,12.324,0,0.011191777,156.7055664
600,0.810438235,0.2224,0.000505013,0.0522,0.495,0,351.9441176,1698.062941,16.742,0,0.011191777,164.7708353
599,0.807695741,0.210474561,0.000508665,0.052142954,0.496499127,0,367.5017647,1490.061176,10.652,0,0.012590749,176.2030137
598,0.804796568,0.198414722,0.00051235,0.052108746,0.498107972,0,372.3014706,1359.873235,13.144,0,0.012590749,189.3832815
597,0.803708006,0.186754171,0.000516068,0.052093062,0.499667255,0,407.3902941,1226.559706,18.598,0,0.012590749,205.1446812
596,0.804116365,0.176113458,0.000519819,0.052091585,0.501017692,0,470.4914286,1136.464571,14.426,0,0.012590749,223.6153003
595,0.805395619,0.1672,0.000523604,0.0521,0.502,0,479.1152941,1015.629412,16.738,0,0.012590749,245.329704
594,0.807099066,0.160370412,0.000527423,0.052114477,0.502504379,0,552.6529412,868.8676471,16.118,0,0.012590749,270.9370747
593,0.80928646,0.154562989,0.000531276,0.052133123,0.502618958,0,586.5985294,775.0638235,17.816,0,0.012590749,301.0811591
592,0.81210633,0.148409359,0.000535163,0.05215453,0.502481348,0,615.5441176,684.3005882,15.058,0,0.012590749,338.9814006
591,0.815698757,0.141643152,0.000539086,0.052177292,0.502229158,0,682.945,596.54,14.496,0,0.012590749,384.5687924
590,0.819747465,0.1351,0.000543044,0.0522,0.502,0,683.6842857,510.2871429,15.722,0,0.012590749,430.6973664
589,0.823337933,0.129438408,0.000547039,0.052223139,0.501899356,0,753.2005882,465.7276471,13.436,0,0.012590749,469.2066151
588,0.825850946,0.124416721,0.000551069,0.052254762,0.501904194,0,778.3188235,456.0076471,16.362,0,0.012590749,496.378924
587,0.826879818,0.119580052,0.000555136,0.052304816,0.501959354,0,892.1417647,382.0888235,14.934,0,0.012590749,516.549895
586,0.826240857,0.11474507,0.00055924,0.052383247,0.502009676,0,895.9011765,349.5397059,19.674,0,0.012590749,532.3146032
585,0.823810899,0.11,0.000563382,0.0525,0.502,0,989.57,340.44,13.74,0,0.012590749,547.3164571
584,0.820201897,0.105426497,0.000567561,0.052660968,0.501890197,0,1142.470857,293.6342857,16.316,0,0.012590749,553.5042492
583,0.816713498,0.101032704,0.000571779,0.052855828,0.501700266,0,1186.122571,231.1491429,24.084,0,0.012590749,559.6920413
582,0.814478859,0.096814567,0.000576035,0.053070204,0.501465236,0,1298.547429,175.8422857,15.078,0,0.012590749,569.9558334
581,0.813183259,0.092910224,0.00058033,0.05328972,0.501220137,0,1372.642941,205.9811765,15.188,0,0.012590749,579.3185216
580,0.81188869,0.0896,0.000584665,0.0535,0.501,0,1469.940588,63.91323529,18.558,0,0.012590749,589.0886326
579,0.810965184,0.087029353,0.00058904,0.05368899,0.500835856,0,1579.854706,0,14.644,0,0.012590749,600.991805
