wavelength,data
350,-0.016368233
351,-0.016323047
352,-0.016385663
353,-0.016448395
354,-0.016255337
355,-0.016195884
356,-0.016002477
357,-0.016087419
358,-0.015980674
359,-0.015934547
360,-0.015739035
361,-0.015834767
362,-0.01565907
363,-0.015657035
364,-0.01542336
365,-0.015312407
366,-0.015474023
367,-0.01535836
368,-0.014919453
369,-0.014908465
370,-0.014763047
371,-0.014916244
372,-0.014664837
373,-0.014511337
374,-0.014283919
375,-0.014144535
376,-0.014023198
377,-0.013889384
378,-0.014048093
379,-0.013932756
380,-0.013809012
381,-0.013754221
382,-0.013710488
383,-0.013523953
384,-0.013499547
385,-0.013400558
386,-0.013314651
387,-0.013274907
388,-0.013176884
389,-0.013121023
390,-0.013081512
391,-0.012930105
392,-0.01285314
393,-0.012743198
394,-0.012701895
395,-0.012585453
396,-0.01249936
397,-0.012408942
398,-0.012271698
399,-0.012187233
400,-0.01214914
401,-0.012039744
402,-0.011881314
403,-0.011787581
404,-0.011724535
405,-0.011635198
406,-0.011603814
407,-0.011434651
408,-0.011308314
409,-0.01128043
410,-0.011194058
411,-0.011111174
412,-0.01104814
413,-0.010960256
414,-0.010859453
415,-0.010826174
416,-0.010783128
417,-0.010650651
418,-0.010584012
419,-0.010549279
420,-0.010438849
421,-0.01037186
422,-0.010298453
423,-0.010229023
424,-0.010213802
425,-0.010108523
426,-0.01000314
427,-0.0099785
428,-0.009926814
429,-0.009866442
430,-0.009870535
431,-0.009789012
432,-0.009700302
433,-0.009725267
434,-0.00967036
435,-0.009634093
436,-0.009646733
437,-0.009577593
438,-0.0094845
439,-0.009455802
440,-0.009416884
441,-0.009373012
442,-0.009356558
443,-0.009307221
444,-0.00925657
445,-0.009255802
446,-0.009273651
447,-0.009255105
448,-0.009255651
449,-0.009202593
450,-0.009126663
451,-0.009153605
452,-0.009120256
453,-0.009119802
454,-0.009153977
455,-0.009101163
456,-0.009038523
457,-0.009074709
458,-0.009029012
459,-0.009051372
460,-0.009008267
461,-0.008940895
462,-0.008932733
463,-0.008927407
464,-0.008881349
465,-0.008896965
466,-0.008914791
467,-0.008875698
468,-0.008851628
469,-0.008892291
470,-0.008815988
471,-0.00881836
472,-0.008799442
473,-0.008746023
474,-0.008733105
475,-0.008766419
476,-0.008724244
477,-0.008713186
478,-0.008639302
479,-0.00864014
480,-0.008617419
481,-0.008643244
482,-0.008601116
483,-0.008620581
484,-0.00859364
485,-0.008615988
486,-0.008504337
487,-0.008543337
488,-0.008414651
489,-0.008465988
490,-0.008510233
491,-0.008427779
492,-0.008423198
493,-0.008509872
494,-0.008360395
495,-0.008391395
496,-0.008398558
497,-0.008336105
498,-0.008371837
499,-0.008312884
500,-0.008313105
501,-0.008333814
502,-0.008341256
503,-0.008305733
504,-0.008259814
505,-0.008309023
506,-0.008216872
507,-0.008278965
508,-0.008266698
509,-0.008226023
510,-0.008174407
511,-0.008215291
512,-0.008164581
513,-0.008189523
514,-0.008171581
515,-0.00817764
516,-0.008132407
517,-0.008220337
518,-0.008144884
519,-0.00812964
520,-0.008124802
521,-0.008092837
522,-0.008045395
523,-0.008077872
524,-0.008052326
525,-0.008134674
526,-0.008027663
527,-0.00799414
528,-0.007986907
529,-0.008035442
530,-0.007951919
531,-0.007940512
532,-0.007977919
