,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
280,1,0.164226,2016-07-06 18:04:29,2.0,2,0.0002636,2
281,2,0.164894,2016-07-06 18:04:29,2.0,4,0.0002636,2
282,3,0.164948,2016-07-06 18:04:29,2.0,6,0.0002636,2
283,4,0.17469200000000001,2016-07-06 18:04:29,2.0,8,0.0002636,2
284,5,0.16374,2016-07-06 18:04:29,2.0,10,0.0002636,2
285,6,0.171042,2016-07-06 18:04:29,2.0,12,0.0002636,2
286,7,0.174085,2016-07-06 18:04:29,2.0,14,0.0002636,2
287,8,0.163552,2016-07-06 18:04:29,2.0,16,0.0002636,2
288,9,0.172094,2016-07-06 18:04:29,2.0,18,0.0002636,2
289,10,0.170475,2016-07-06 18:04:29,2.0,20,0.0002636,2
290,11,0.180509,2016-07-06 18:04:29,2.0,22,0.0002636,2
291,12,0.181177,2016-07-06 18:04:29,2.0,24,0.0002636,2
292,13,0.171784,2016-07-06 18:04:29,2.0,26,0.0002636,2
293,14,0.175232,2016-07-06 18:04:29,2.0,28,0.0002636,2
294,15,0.180179,2016-07-06 18:04:29,2.0,30,0.0002636,2
295,16,0.176568,2016-07-06 18:04:29,2.0,32,0.0002636,2
296,17,0.179902,2016-07-06 18:04:29,2.0,34,0.0002636,2
297,18,0.179004,2016-07-06 18:04:29,2.0,36,0.0002636,2
298,19,0.177689,2016-07-06 18:04:29,2.0,38,0.0002636,2
299,20,0.18340399999999998,2016-07-06 18:04:29,2.0,40,0.0002636,2
300,21,0.176373,2016-07-06 18:04:29,2.0,42,0.0002636,2
301,22,0.177945,2016-07-06 18:04:29,2.0,44,0.0002636,2
302,23,0.187993,2016-07-06 18:04:29,2.0,46,0.0002636,2
303,24,0.172924,2016-07-06 18:04:29,2.0,48,0.0002636,2
304,25,0.17966600000000002,2016-07-06 18:04:29,2.0,50,0.0002636,2
305,26,0.177972,2016-07-06 18:04:29,2.0,52,0.0002636,2
306,27,0.185638,2016-07-06 18:04:29,2.0,54,0.0002636,2
307,28,0.187925,2016-07-06 18:04:29,2.0,56,0.0002636,2
308,29,0.17691300000000001,2016-07-06 18:04:29,2.0,58,0.0002636,2
309,30,0.197413,2016-07-06 18:04:29,2.0,60,0.0002636,2
310,31,0.190719,2016-07-06 18:04:29,2.0,62,0.0002636,2
311,32,0.19226400000000002,2016-07-06 18:04:29,2.0,64,0.0002636,2
312,33,0.17968599999999998,2016-07-06 18:04:29,2.0,66,0.0002636,2
313,34,0.18465299999999998,2016-07-06 18:04:29,2.0,68,0.0002636,2
314,35,0.179976,2016-07-06 18:04:29,2.0,70,0.0002636,2
315,36,0.184774,2016-07-06 18:04:29,2.0,72,0.0002636,2
316,37,0.19055,2016-07-06 18:04:29,2.0,74,0.0002636,2
317,38,0.194936,2016-07-06 18:04:29,2.0,76,0.0002636,2
318,39,0.185644,2016-07-06 18:04:29,2.0,78,0.0002636,2
